hh_id,province,province_name,urban,hh_size,income,log_income,renter,head_age,has_youth,employed,weight_wave1,response_propensity,ipw_adjustment,weight_longitudinal
ZMB000001,2,Eastern Highlands,1,3,7124,8.871224644409553,1,38,0,0,107.96264997683465,0.688642682938106,1.4521318889695924,156.77600684902384
ZMB000002,3,Southern Cape,1,4,2050,7.6255950721324535,1,56,1,1,212.0463523361832,0.7818710511100084,1.278983278099781,271.2037388200327
ZMB000003,1,Zambara Capital,1,1,2684,7.895063498091573,0,38,0,1,121.05518927797675,0.8140943965109029,1.2283587803648608,148.6992046583329
ZMB000004,2,Eastern Highlands,0,5,12793,9.456653425317034,0,41,0,0,137.95679226750508,0.9062369591720321,1.1034641545778854,152.23037514773944
ZMB000005,1,Zambara Capital,1,8,7481,8.920121751872404,1,52,1,0,144.01927310507745,0.8120559726369061,1.2314422080448502,177.35141167353086
ZMB000007,1,Zambara Capital,1,2,5802,8.665957964681349,0,33,0,1,136.0711299139075,0.7851344351912594,1.273667228410889,173.30933890418456
ZMB000009,2,Eastern Highlands,0,3,1823,7.508238774678663,0,39,1,0,166.7850187770091,0.8844976186982106,1.1305852936854526,188.56468943633857
ZMB000010,2,Eastern Highlands,1,2,1662,7.415776975415394,0,39,0,1,246.36274919845164,0.8607951439338102,1.1617165908139624,286.2036931023805
ZMB000011,1,Zambara Capital,1,2,13715,9.526245403371703,1,39,0,1,191.27284629270434,0.6071507378745811,1.6470374449360707,315.03354004358556
ZMB000012,5,Northern Bushveld,0,6,1834,7.51425465281641,0,79,1,0,233.26635979348794,0.967687992232894,1.0333909359488356,241.05534187237032
ZMB000013,1,Zambara Capital,1,3,5958,8.692490133273228,0,27,0,1,188.02802422316745,0.7909458443796371,1.2643090637695056,237.72553526802275
ZMB000015,6,Western Drylands,0,1,1024,6.931471805599453,0,50,0,0,205.40532602230087,0.929579464090872,1.0757552620614304,220.9658603239338
ZMB000016,5,Northern Bushveld,0,4,6746,8.816705015621595,0,46,0,0,90.54793938295916,0.91742132923314,1.0900117188640974,98.69831504642141
ZMB000017,7,Mining Belt,0,7,2068,7.63433723562832,0,49,1,1,92.31006577378139,0.9475017916010946,1.0554069753368946,97.42468731145642
ZMB000018,3,Southern Cape,1,2,7044,8.859931469616097,0,33,0,1,168.34267378551885,0.7745278694313045,1.2911091252716935,217.3487622971193
ZMB000019,3,Southern Cape,1,2,12747,9.453051228782922,0,54,0,1,202.4910308793187,0.816471712422037,1.2247821752863088,248.0074052763391
ZMB000020,2,Eastern Highlands,1,3,7594,8.935113740791747,0,44,1,1,226.2293939734809,0.7589634363664302,1.3175865293162774,298.07680203484347
ZMB000021,1,Zambara Capital,1,3,2350,7.762170607138205,0,34,0,0,234.10126278875396,0.8552182138672932,1.1692922154662775,273.73278420971536
ZMB000022,1,Zambara Capital,1,3,11689,9.366403507607771,1,31,0,1,221.1243348568678,0.6193738835565792,1.6145336872419984,357.0126876953931
ZMB000023,7,Mining Belt,0,3,3634,8.198089248956116,0,61,1,1,91.47493087220937,0.907609743833524,1.101795134741769,100.78663378583992
ZMB000024,2,Eastern Highlands,1,3,7777,8.958925938694943,1,40,1,1,128.09885532595217,0.5841568300026381,1.711869054061191,219.2884662931591
ZMB000025,4,Central Plateau,1,2,3820,8.24800570160062,1,50,0,1,126.89994361950085,0.7459071066596255,1.340649513956599,170.12834773460364
ZMB000026,3,Southern Cape,1,4,3304,8.102889134640868,0,35,0,1,83.00427653128281,0.8652980966386001,1.1556710963362484,95.92564325950474
ZMB000027,9,Coastal Plains,1,7,4777,8.471568013389962,0,20,0,1,213.93943030852824,0.8739383078606442,1.1442455274079337,244.7992362667348
ZMB000028,8,Eastern Forests,1,3,4472,8.405591014834934,1,49,0,1,132.0782632404007,0.764317262749018,1.3083572081092378,172.80554774512763
ZMB000029,1,Zambara Capital,1,2,11963,9.389573832170905,1,66,0,0,90.99030246259645,0.7415859856139899,1.3484612970026104,122.69690127337262
ZMB000030,4,Central Plateau,0,7,1141,7.039660349862076,0,35,0,0,118.67567648878321,0.9627716496117716,1.0386678922289,123.2646147574433
ZMB000031,9,Coastal Plains,1,4,30060,10.310950663306965,1,44,0,1,136.23309907270595,0.6534290732092451,1.530387980884612,208.48949741953177
ZMB000032,1,Zambara Capital,1,5,30991,10.341452118734878,0,46,0,1,164.88997488515452,0.8252703276976303,1.21172416654048,199.80116738859456
ZMB000033,4,Central Plateau,1,4,7376,8.90598676523643,0,36,0,0,142.338284868747,0.8355539776553725,1.1968107707488573,170.3519924208355
ZMB000034,1,Zambara Capital,0,3,5004,8.517992871586802,0,58,0,0,112.42906259838492,0.930057427413491,1.0752024235546624,120.88400058376232
ZMB000035,7,Mining Belt,0,5,1878,7.537962659768208,0,58,1,1,248.4450349304825,0.9412175276457081,1.062453652453037,263.9613347957135
ZMB000036,2,Eastern Highlands,0,3,857,6.75343791859778,0,43,1,1,113.08810046175495,0.9138351121834585,1.09428931616631,123.7511001208408
ZMB000037,7,Mining Belt,0,3,757,6.6293632534374485,0,59,0,0,119.37262499704957,0.9612258555010569,1.0403382246503672,124.1879047612846
ZMB000038,9,Coastal Plains,1,1,8326,9.02713842775492,0,18,0,1,87.15927516110241,0.6659809571268382,1.5015444350153495,130.87352457812491
ZMB000039,7,Mining Belt,0,3,2125,7.661527081358517,0,53,0,0,98.86517386883497,0.9401294060770027,1.0636833541595374,105.16123975036824
ZMB000040,3,Southern Cape,1,3,10494,9.258558944246657,0,50,0,0,203.58043503481895,0.8375943893366501,1.1938952943464323,243.0537234090699
ZMB000041,7,Mining Belt,1,1,12225,9.411238314343073,1,33,0,1,127.92672325624153,0.5431500097519479,1.841111998611013,235.5274251300568
ZMB000043,9,Coastal Plains,0,7,1591,7.372118028337787,0,67,0,0,104.04593996470794,0.9787254290230736,1.021737016681136,106.30758829732527
ZMB000044,2,Eastern Highlands,1,2,5367,8.588024372176829,1,35,0,1,173.90558272367343,0.65677638677527606,1.5225882357158527,264.7865943803752
ZMB000045,4,Central Plateau,1,3,7558,8.930361883909434,1,30,0,0,194.92165603442118,0.6466788684404481,1.546362574691257,301.4195538884711
ZMB000046,5,Northern Bushveld,0,3,2750,7.919356190660617,0,62,0,0,109.2064972803928,0.9460117425601632,1.0570693311837018,115.43883904109957
ZMB000047,5,Northern Bushveld,1,2,1125,7.025538314638521,0,38,0,1,188.11152454465628,0.8726840164735968,1.1458901287557328,215.55513908091336
ZMB000048,7,Mining Belt,0,5,1375,7.226209010100671,0,52,0,1,218.58250241726637,0.9613347224635589,1.0402204108859772,227.3739804769739
ZMB000049,1,Zambara Capital,1,5,5860,8.675904882571059,0,58,1,0,138.18367793457583,0.8664691401766055,1.1541091928515514,159.47905300633204
ZMB000050,4,Central Plateau,0,6,1063,6.968850378341948,1,34,0,0,171.17938599782065,0.914398957413614,1.0936145452620696,187.20426637624692
ZMB000051,3,Southern Cape,0,6,3643,8.200562797008564,0,52,0,0,211.00478298263624,0.9558126826279952,1.046230101540934,220.7595555255463
ZMB000052,9,Coastal Plains,0,3,3135,8.050384453067021,0,55,1,0,192.20288992859423,0.9006069207547186,1.1103623311732813,213.41484891935548
ZMB000053,3,Southern Cape,1,3,11360,9.337853692275143,0,22,1,1,126.96857791161165,0.6341179097849634,1.5769937807609178,200.2286577186696
ZMB000054,1,Zambara Capital,1,1,9418,9.1503780308035,0,60,0,1,186.34918231749907,0.8243044678045937,1.2131439765980452,226.06838807244495
ZMB000055,3,Southern Cape,1,2,14184,9.559869847754044,1,43,1,1,96.246515607927,0.5103170146191516,1.9595662526484596,188.60142392029698
ZMB000056,5,Northern Bushveld,1,1,7132,8.872346978983032,1,52,0,0,241.2938187015243,0.6790810970466021,1.4725781712215362,355.3240102705515
ZMB000057,1,Zambara Capital,1,6,7995,8.986571625268054,1,42,0,1,243.83731798501685,0.7950393880140293,1.2577993179658087,306.6984122561662
ZMB000058,2,Eastern Highlands,0,5,1535,7.336285660021297,0,54,0,1,131.91088479477912,0.9616146018625376,1.0399176531461922,137.17645774022444
ZMB000059,1,Zambara Capital,1,4,4871,8.491054533806542,0,37,0,1,229.28885051049292,0.8555718221799697,1.1688089463395743,267.9948597725814
ZMB000061,2,Eastern Highlands,0,5,2115,7.656810091480378,0,72,1,0,146.84970057336614,0.9540779998506856,1.0481323331598686,153.91791928579036
ZMB000062,7,Mining Belt,0,8,3455,8.14757773620177,0,35,0,0,205.4478211211972,0.9556782538375356,1.0463772676468153,214.97592970878998
ZMB000064,3,Southern Cape,1,3,2242,7.715123603632105,0,46,0,0,248.6867623636499,0.8856261996197214,1.1291445537963867,280.8033033241715
ZMB000065,1,Zambara Capital,1,4,2495,7.822044008185619,1,33,1,1,214.11514962324873,0.6734700799561304,1.4848469587025153,317.92822873021487
ZMB000067,1,Zambara Capital,1,1,5201,8.556606193773073,1,48,0,1,206.7144196643494,0.6824138531313486,1.4653864299667485,302.9165054545892
ZMB000068,2,Eastern Highlands,1,4,1706,7.441906728051625,0,62,1,1,219.54731577076018,0.8981914940981374,1.1133483300285394,244.43263737562427
ZMB000069,1,Zambara Capital,0,1,10271,9.237079669165805,0,59,1,0,99.79562147054821,0.8276456835149716,1.2082464995806512,120.57771031526556
ZMB000071,3,Southern Cape,0,8,4134,8.327000740241713,0,73,0,0,130.0803556619212,0.9786168774749257,1.0218503512633546,132.92265712559626
ZMB000072,5,Northern Bushveld,0,7,2184,7.688913336864796,0,41,0,0,123.40485166059807,0.9598362106537153,1.041844419808803,128.5686560799272
ZMB000073,3,Southern Cape,1,1,1793,7.491645473605133,1,41,0,1,158.90256776707247,0.722107592409931,1.384835183165216,220.05386653913695
ZMB000074,7,Mining Belt,0,7,1264,7.142036574706803,1,50,0,0,187.39281666232273,0.9440356457501132,1.0592820350606766,198.5018441898175
ZMB000075,9,Coastal Plains,1,3,2756,7.9215356321335495,1,50,0,1,239.6785190049559,0.7944546077072936,1.258725155973212,301.68938121794156
ZMB000076,1,Zambara Capital,1,3,4490,8.4096079807363,0,56,0,0,107.73715796414763,0.8848011209281853,1.1301974831937005,121.76426477752179
