"province","geotype","income_quintile","hhsize","risk_score","risk_category"
"1","3","5",2,0.244,"Medium"
"1","3","3",1,0.216,"Medium"
"1","3","3",3,0.03,"Low"
"1","1","5",5,0.068,"Low"
"1","1","5",2,0.154,"Medium"
"1","1","5",2,0.016,"Low"
"1","1","3",4,0.008,"Low"
"1","1","5",3,0.014,"Low"
"1","1","2",3,0.008,"Low"
"1","1","2",3,0.028,"Low"
"1","1","1",2,0.016,"Low"
"1","1","1",4,0.084,"Low"
"1","3","5",3,0.082,"Low"
"1","1","1",1,0,"Low"
"1","1","1",1,0.056,"Low"
"1","1","1",2,0.036,"Low"
"1","3","5",2,0.046,"Low"
"1","3","5",5,0.094,"Low"
"1","3","3",3,0.022,"Low"
"1","1","1",1,0,"Low"
"1","1","1",2,0.006,"Low"
"1","1","2",2,0.018,"Low"
"1","1","2",1,0.002,"Low"
"1","1","3",4,0.014,"Low"
"1","1","4",10,0.462,"Very High"
"1","1","5",8,0.05,"Low"
"1","1","4",6,0.194,"Medium"
"1","1","5",5,0.208,"Medium"
"1","1","3",1,0.022,"Low"
"1","1","1",1,0.002,"Low"
"1","1","5",2,0.052,"Low"
"1","1","5",3,0.03,"Low"
"1","1","4",5,0.108,"Low"
"1","1","5",4,0.018,"Low"
"1","1","5",2,0.198,"Medium"
"1","1","5",1,0.168,"Medium"
"1","1","4",5,0.05,"Low"
"1","1","1",2,0,"Low"
"1","1","5",1,0.014,"Low"
"1","1","5",2,0.126,"Low"
"1","1","2",2,0.01,"Low"
"1","1","3",5,0.122,"Low"
"1","1","5",1,0.268,"High"
"1","1","4",4,0.068,"Low"
"1","1","5",5,0.062,"Low"
"1","1","3",1,0.11,"Low"
"1","1","4",5,0.034,"Low"
"1","1","1",3,0.002,"Low"
"1","1","2",2,0.114,"Low"
"1","1","2",2,0.092,"Low"
"1","3","5",6,0.222,"Medium"
"1","1","1",3,0,"Low"
"1","1","1",5,0.296,"High"
"1","1","5",5,0.07,"Low"
"1","1","4",1,0.026,"Low"
"1","1","5",3,0.012,"Low"
"1","1","5",4,0.066,"Low"
"1","1","4",7,0.024,"Low"
"1","1","1",1,0,"Low"
"1","1","4",3,0.024,"Low"
"1","1","4",5,0.11,"Low"
"1","1","1",1,0,"Low"
"1","1","4",5,0.064,"Low"
"1","1","2",3,0.016,"Low"
"1","1","5",3,0.04,"Low"
"1","1","5",2,0.06,"Low"
"1","1","3",2,0.008,"Low"
"1","1","5",6,0.088,"Low"
"1","1","5",2,0.038,"Low"
"1","1","5",4,0.048,"Low"
"1","1","4",5,0.062,"Low"
"1","1","1",1,0,"Low"
"1","1","3",3,0.074,"Low"
"1","1","3",3,0.024,"Low"
"1","1","4",6,0.316,"High"
"1","1","5",1,0.014,"Low"
"1","1","3",6,0.054,"Low"
"1","1","3",2,0.002,"Low"
"1","1","1",3,0.146,"Low"
"1","1","5",3,0.032,"Low"
"1","1","5",4,0,"Low"
"1","1","5",1,0.236,"Medium"
"1","1","5",2,0.094,"Low"
"1","1","3",3,0.024,"Low"
"1","1","5",4,0.158,"Medium"
"1","1","2",2,0.004,"Low"
"1","1","3",3,0.018,"Low"
"1","1","5",4,0.138,"Low"
"1","1","5",3,0.082,"Low"
"1","1","5",3,0.096,"Low"
"1","1","5",2,0.014,"Low"
"1","1","5",4,0.094,"Low"
"1","1","4",5,0.116,"Low"
"1","1","4",3,0.048,"Low"
"1","1","3",3,0.02,"Low"
"1","1","2",3,0.176,"Medium"
"1","1","3",1,0.11,"Low"
"1","1","5",3,0,"Low"
"1","1","5",2,0.096,"Low"
"1","1","5",5,0.054,"Low"
"1","1","5",6,0.298,"High"
"1","1","5",4,0.158,"Medium"
"1","1","5",6,0.116,"Low"
"1","1","4",8,0.122,"Low"
"1","1","5",3,0.002,"Low"
"1","3","5",2,0.244,"Medium"
"1","3","3",7,0.042,"Low"
"1","3","1",2,0.532,"Very High"
"1","3","5",2,0.244,"Medium"
"1","1","5",2,0.094,"Low"
"1","1","5",2,0.028,"Low"
"1","1","4",3,0.108,"Low"
"1","1","5",4,0.01,"Low"
"1","1","4",2,0.082,"Low"
"1","1","5",2,0.088,"Low"
"1","1","4",1,0.198,"Medium"
"1","1","4",1,0.098,"Low"
"1","1","4",1,0.098,"Low"
"1","1","3",7,0.052,"Low"
"1","1","5",5,0.136,"Low"
"1","1","5",4,0,"Low"
"1","1","1",3,0.002,"Low"
"1","1","5",5,0.026,"Low"
"1","1","2",2,0.004,"Low"
"1","1","5",6,0.218,"Medium"
"1","1","3",3,0.024,"Low"
"1","1","1",2,0.006,"Low"
"1","1","5",2,0.122,"Low"
"1","1","4",2,0.19,"Medium"
"1","1","4",2,0.1,"Low"
"1","1","3",1,0.23,"Medium"
"1","1","4",1,0.026,"Low"
"1","1","5",2,0.198,"Medium"
"1","1","5",4,0.024,"Low"
"1","1","4",1,0.428,"Very High"
"1","1","4",1,0.026,"Low"
"1","1","5",1,0.074,"Low"
"1","1","4",4,0.038,"Low"
"1","1","4",5,0.032,"Low"
"1","1","1",1,0,"Low"
"1","1","4",1,0.026,"Low"
"1","1","5",4,0.062,"Low"
"1","1","5",3,0.124,"Low"
"1","1","3",2,0.126,"Low"
"1","1","3",3,0.114,"Low"
"1","1","4",2,0.148,"Low"
"1","1","3",2,0.086,"Low"
"1","1","1",3,0.002,"Low"
"1","1","5",5,0.174,"Medium"
"1","1","4",5,0.006,"Low"
"1","1","4",2,0.026,"Low"
"1","1","1",1,0.056,"Low"
"1","3","5",5,0.192,"Medium"
"1","3","4",7,0.028,"Low"
"1","3","3",1,0.372,"Very High"
"1","3","4",2,0.306,"High"
"1","3","1",1,0.552,"Very High"
