"psu","stratum","prov","n_households","mean_income","prob_selection","certainty","empirical_prob"
16010009000,"10301",1,3,3336599.66666667,0.0143266475644699,FALSE,0.014
16010033000,"10107",1,4,25274.25,0.0191021967526266,FALSE,0.015
16010063000,"10106",1,5,11419.6,0.0238777459407832,FALSE,0.016
16010092000,"10301",1,1,9999999,0.00477554918815664,FALSE,0.005
16010141000,"10106",1,3,1496.66666666667,0.0143266475644699,FALSE,0.02
16110001000,"10301",1,3,23573,0.0143266475644699,FALSE,0.009
16110027000,"10110",1,4,2502.5,0.0191021967526266,FALSE,0.02
16210039000,"10103",1,6,12664.8333333333,0.0286532951289398,FALSE,0.031
16210045000,"10111",1,7,25105,0.0334288443170965,FALSE,0.029
16210058000,"10107",1,5,4003097.6,0.0238777459407832,FALSE,0.027
16210075000,"10104",1,2,22320,0.00955109837631328,FALSE,0.008
16210085000,"10103",1,7,7984.85714285714,0.0334288443170965,FALSE,0.034
16210094000,"10301",1,1,24230,0.00477554918815664,FALSE,0.005
16310022000,"10105",1,8,12633.75,0.0382043935052531,FALSE,0.032
16310094000,"10111",1,7,16339.5714285714,0.0334288443170965,FALSE,0.029
16310107000,"10102",1,4,24555,0.0191021967526266,FALSE,0.028
16310155000,"10109",1,9,1116031.77777778,0.0429799426934097,FALSE,0.038
16310232000,"10102",1,4,2520297.25,0.0191021967526266,FALSE,0.021
16310235000,"10103",1,4,9341.75,0.0191021967526266,FALSE,0.023
16310285000,"10103",1,4,34503.75,0.0191021967526266,FALSE,0.021
16410049000,"10101",1,6,9860.66666666667,0.0286532951289398,FALSE,0.03
16410057000,"10111",1,8,27028.5,0.0382043935052531,FALSE,0.038
16410059000,"10301",1,4,5001622,0.0191021967526266,FALSE,0.01
16410118000,"10102",1,5,36363.6,0.0238777459407832,FALSE,0.025
16410128000,"10102",1,4,23750,0.0191021967526266,FALSE,0.024
16410160000,"10111",1,7,31108.7142857143,0.0334288443170965,FALSE,0.028
16510033000,"10110",1,6,9337.33333333333,0.0286532951289398,FALSE,0.03
16510051000,"10102",1,7,16559.8571428571,0.0334288443170965,FALSE,0.034
16510064000,"10108",1,7,12379.7142857143,0.0334288443170965,FALSE,0.024
16510079004,"10110",1,7,7951.28571428571,0.0334288443170965,FALSE,0.034
16510139000,"10301",1,6,1671599,0.0286532951289398,FALSE,0.029
16510165000,"10301",1,2,4600,0.00955109837631328,FALSE,0.013
16510179000,"10301",1,1,2950,0.00477554918815664,FALSE,0.004
16610031000,"10301",1,4,21929.25,0.0191021967526266,FALSE,0.018
16610050000,"10105",1,3,11898,0.0143266475644699,FALSE,0.013
16610092000,"10106",1,4,34187.25,0.0191021967526266,FALSE,0.023
16610121000,"10301",1,6,13936.6666666667,0.0286532951289398,FALSE,0.031
16610124000,"10102",1,9,102333.333333333,0.0429799426934097,FALSE,0.055
16610155000,"10108",1,5,16340,0.0238777459407832,FALSE,0.023
16610159000,"10102",1,5,116800,0.0238777459407832,FALSE,0.024
16610161000,"10102",1,5,29781.6,0.0238777459407832,FALSE,0.025
16610182000,"10108",1,5,30396,0.0238777459407832,FALSE,0.037
16610191000,"10111",1,7,16822.8571428571,0.0334288443170965,FALSE,0.031
16610193000,"10105",1,7,9241.42857142857,0.0334288443170965,FALSE,0.035
